arrival_time_s,packet_size_bytes,backlog_bytes,departure_time_s,waiting_time_s,dropped,cum_drops
1.038823375,57,9014,1.112897542,0.074074167,0,0
1.038826125,47,9071,1.113273542,0.074447417,0,0
1.038829209,57,9118,1.113729542,0.074900333,0,0
1.038831709,157,9175,1.114985542,0.076153833,0,0
1.03883425,157,9332,1.116241542,0.077407292,0,0
1.038837334,68,9489,1.116785542,0.077948208,0,0
1.0388405,79,9557,1.117417542,0.078577042,0,0
1.039587917,68,9636,1.117961542,0.078373625,0,0
1.039593584,98,9607,1.118745542,0.079151958,0,0
1.04036475,86,9684,1.119433542,0.079068792,0,0
1.040368167,79,9770,1.120065542,0.079697375,0,0
1.040370792,98,9849,1.120849542,0.08047875,0,0
1.040373542,86,9947,1.121537542,0.081164,0,0
1.040375959,285,10033,1.123817542,0.083441583,0,0
1.040378917,285,10318,1.126097542,0.085718625,0,0
1.040381542,27,10603,1.126313542,0.085932,0,0
1.040384209,27,10630,1.126744167,0.086359958,0,0
1.040387542,83,10657,1.127408167,0.087020625,0,0
1.040390917,185,10740,1.128888167,0.08849725,0,0
1.040393292,83,10925,1.129552167,0.089158875,0,0
1.040395292,185,11008,1.131032167,0.090636875,0,0
1.040404875,358,11193,1.133896167,0.093491292,0,0
1.040531125,358,11551,1.136760167,0.096229042,0,0
1.040534917,27,11888,1.136976167,0.09644125,0,0
1.040537417,27,11915,1.137608667,0.09707125,0,0
1.040539709,277,11942,1.139824667,0.099284958,0,0
1.040542459,277,12219,1.142040667,0.101498208,0,0
1.040545584,43,12496,1.142384667,0.101839083,0,0
1.040548375,43,12539,1.142823709,0.102275334,0,0
1.04146825,12,12398,1.142919709,0.101451459,0,0
1.041471584,12,12410,1.143015709,0.101544125,0,0
1.041473875,180,12422,1.144455709,0.102981834,0,0
1.041482292,180,12602,1.145895709,0.104413417,0,0
1.042173584,87,12732,1.146591709,0.104418125,0,0
1.042178292,87,12819,1.147287709,0.105109417,0,0
1.042572542,135,12856,1.148367709,0.105795167,0,0
1.042575834,135,12991,1.149447709,0.106871875,0,0
1.042577834,86,13126,1.150135709,0.107557875,0,0
1.042580834,86,13212,1.150823709,0.108242875,0,0
1.0425845,24,13298,1.151015709,0.108431209,0,0
1.04258775,24,13322,1.151207709,0.108619959,0,0
1.042590375,59,13346,1.151679709,0.109089334,0,0
1.042593292,59,13405,1.152151709,0.109558417,0,0
1.04297225,54,13396,1.152583709,0.109611459,0,0
1.042975459,54,13450,1.153015709,0.11004025,0,0
1.043516209,35,13436,1.153295709,0.1097795,0,0
1.043519167,35,13471,1.153575709,0.110056542,0,0
1.043521334,3,13506,1.153599709,0.110078375,0,0
1.044058959,3,13509,1.153623709,0.10956475,0,0
1.044062834,13,13187,1.153727709,0.109664875,0,0
1.044064834,13,13200,1.153831709,0.109766875,0,0
1.044068125,360,13213,1.156711709,0.112643584,0,0
1.044079875,360,13573,1.159591709,0.115511834,0,0
1.044085167,207,13933,1.161247709,0.117162542,0,0
1.044102709,207,14140,1.162903709,0.118801,0,0
1.04410625,72,14022,1.163479709,0.119373459,0,0
1.044108625,72,14094,1.164055709,0.119947084,0,0
1.044110917,219,14166,1.165807709,0.121696792,0,0
1.044113167,219,14385,1.167559709,0.123446542,0,0
1.04411525,6,14604,1.167607709,0.123492459,0,0
1.044117334,6,14610,1.167734667,0.123617333,0,0
1.044119334,31,14616,1.167982667,0.123863333,0,0
1.044121292,31,14647,1.168230667,0.124109375,0,0
1.04416975,109,14678,1.169102667,0.124932917,0,0
1.044172292,109,14787,1.169974667,0.125802375,0,0
1.044566917,8,14896,1.170038667,0.12547175,0,0
1.04457025,8,14904,1.170102667,0.125532417,0,0
1.045326417,19,14912,1.170254667,0.12492825,0,0
1.04532925,19,14931,1.170406667,0.125077417,0,0
1.045781125,2,14950,1.170422667,0.124641542,0,0
1.045783959,2,14952,1.170440459,0.1246565,0,0
1.046135375,132,14954,1.171498417,0.125363042,0,0
1.046138459,132,15086,1.172554417,0.126415958,0,0
1.046306625,8,15218,1.172618417,0.126311792,0,0
1.046309167,8,15226,1.172682417,0.12637325,0,0
1.04647225,68,15234,1.173226417,0.126754167,0,0
1.046474709,68,15302,1.173770417,0.127295708,0,0
1.046696584,58,15370,1.174234417,0.127537833,0,0
1.046699125,58,15428,1.174698417,0.127999292,0,0
1.047245875,179,15486,1.176130417,0.128884542,0,0
1.047248542,179,15665,1.177562417,0.130313875,0,0
1.047304334,190,15700,1.179082417,0.131778083,0,0
1.047307417,190,15890,1.180602417,0.133295,0,0
1.04735025,29,16080,1.180834417,0.133484167,0,0
1.04735275,29,16109,1.181132875,0.133780125,0,0
1.047405917,43,16138,1.181476875,0.134070958,0,0
1.0474085,43,16181,1.181820875,0.134412375,0,0
1.047687042,628,16224,1.186844875,0.139157833,0,0
1.04768975,628,16852,1.191868875,0.144179125,0,0
1.04788025,125,17480,1.192868875,0.144988625,0,0
1.047882792,125,17605,1.193868875,0.145986083,0,0
1.048427834,110,17730,1.194748875,0.146321041,0,0
1.048430417,110,17840,1.195628875,0.147198458,0,0
1.048572042,278,17950,1.197852875,0.149280833,0,0
1.048574917,278,18228,1.200076875,0.151501958,0,0
1.048907292,125,18506,1.201076875,0.152169583,0,0
1.048909792,125,18631,1.202076875,0.153167083,0,0
1.049140792,66,18756,1.202604875,0.153464083,0,0
1.049143209,66,18822,1.203132875,0.153989666,0,0
1.049232459,114,18888,1.204044875,0.154812416,0,0
1.049234875,114,19002,1.204956875,0.155722,0,0
1.049392667,16,18972,1.205084875,0.155692208,0,0
1.049395334,16,18988,1.205236042,0.155840708,0,0
1.049501459,80,19004,1.205876042,0.156374583,0,0
1.049504125,80,19084,1.206516042,0.157011917,0,0
1.049788625,258,19164,1.208580042,0.158791417,0,0
1.049791292,258,19422,1.210644042,0.16085275,0,0
1.049848209,35,19680,1.210924042,0.161075833,0,0
1.049850584,35,19715,1.211204042,0.161353458,0,0
1.050008959,132,19750,1.212260042,0.162251083,0,0
1.050011709,132,19882,1.213316042,0.163304333,0,0
1.050116792,60,20014,1.213796042,0.16367925,0,0
1.050134084,60,20074,1.214276042,0.164141958,0,0
1.050136292,60,20134,1.214756042,0.16461975,0,0
1.050138459,60,20194,1.215236042,0.165097583,0,0
1.051564292,69,20201,1.215788042,0.16422375,0,0
1.051567542,69,20270,1.216340042,0.1647725,0,0
1.051569625,5,20339,1.216380042,0.164810417,0,0
1.051572917,5,20344,1.216425292,0.164852375,0,0
1.051986167,7,20296,1.216481292,0.164495125,0,0
1.051989417,7,20303,1.216537292,0.164547875,0,0
1.052411834,189,20291,1.218049292,0.165637458,0,0
1.052414834,189,20480,1.219561292,0.167146458,0,0
1.052416834,51,20669,1.219969292,0.167552458,0,0
1.052563459,51,20701,1.220377292,0.167813833,0,0
1.052566459,22,20752,1.220553292,0.167986833,0,0
1.052568542,22,20774,1.220729292,0.16816075,0,0
1.052715084,9,20696,1.220801292,0.168086208,0,0
1.052718292,9,20705,1.220873292,0.168155,0,0
1.053516,254,20614,1.222905292,0.169389292,0,0
1.053518875,254,20868,1.224937292,0.171418417,0,0
1.053520959,35,21122,1.225217292,0.171696333,0,0
1.053529334,35,21157,1.225497292,0.171967958,0,0
1.054314209,145,21182,1.226657292,0.172343083,0,0
1.0543205,145,21327,1.227817292,0.173496792,0,0
1.054394292,35,21472,1.228097292,0.173703,0,0
1.054473125,35,21491,1.228377292,0.173904167,0,0
1.054475834,3,21526,1.228401292,0.173925458,0,0
1.054478584,3,21529,1.228426917,0.173948333,0,0
1.054480792,28,21532,1.228650917,0.174170125,0,0
1.054489709,28,21560,1.228874917,0.174385208,0,0
1.054521542,36,21582,1.229162917,0.174641375,0,0
1.054524334,36,21618,1.229450917,0.174926583,0,0
1.054586292,97,20884,1.230226917,0.175640625,0,0
1.05458925,97,20981,1.231002917,0.176413667,0,0
1.054887667,17,21078,1.231138917,0.17625125,0,0
1.054890084,17,21095,1.231274917,0.176384833,0,0
1.055031,83,21112,1.231938917,0.176907917,0,0
1.0550335,83,21195,1.232602917,0.177569417,0,0
1.055191584,177,21278,1.234018917,0.178827333,0,0
1.055194042,177,21455,1.235434917,0.180240875,0,0
1.0555875,57,21632,1.235890917,0.180303417,0,0
1.055590042,57,21689,1.236346917,0.180756875,0,0
1.055754709,6,21746,1.236394917,0.180640208,0,0
1.055757292,6,21752,1.236476042,0.18071875,0,0
1.055787292,147,21758,1.237652042,0.18186475,0,0
1.05578975,147,21905,1.238828042,0.183038292,0,0
1.055951625,34,22052,1.239100042,0.183148417,0,0
1.055954084,34,22086,1.239372042,0.183417958,0,0
1.056501834,18,22120,1.239516042,0.183014208,0,0
1.056504709,18,22138,1.239660042,0.183155333,0,0
1.056665917,110,22156,1.240540042,0.183874125,0,0
1.056668667,110,22266,1.241420042,0.184751375,0,0
1.056713792,98,22376,1.242204042,0.18549025,0,0
